squadra,nome,ruolo,quotazione_iniziale_2026_27,presenze_2025_26,pred_fantamedia,pred_voto,pred_gol,pred_assist,pred_bonus_netti,pred_presenze_previste,pred_presenze_titolare_previste,titolarita_forum_esperti,salute_forum_esperti,consiglio_forum_esperti,totale_forum_esperti,indice_sorpresa,categoria_sorpresa,giornata1_squadra_casa,giornata1_squadra_ospite,giornata1_data_ora,titolare_previsto_giornata1,ballottaggio_pct_giornata1,indisponibile_giornata1,motivo_indisponibilita_giornata1,voto_consigliato_giornata1,commento_voto_giornata1,rigorista_giornata1,tira_punizioni_giornata1,tira_angoli_giornata1,indice_rischio_giornata1,categoria_rischio_giornata1
BOL,Pessina Mas.,p,1.0,4,4.77,5.94,0.5,0.4,-2.6,10.6,7.7,5.0,5.0,5.0,27.0,0.0,coerente (modello ed esperti d'accordo),BOL,LAZ,2026-08-24T16:30:00Z,,,False,,1,Portiere di riserva.,False,False,False,,
BOL,De Silvestri,d,1.0,10,5.76,5.84,0.4,0.7,0.1,12.7,6.6,4.0,5.0,4.0,23.0,0.0,coerente (modello ed esperti d'accordo),BOL,LAZ,2026-08-24T16:30:00Z,,,False,,2,"Difficile che il totem scenda in campo, molto difficile.",False,False,False,,
CAG,Esposito Se.,a,13.0,36,6.46,6.1,4.7,2.9,13.5,25.2,18.3,3.0,8.0,3.0,29.0,-2.34,coerente (modello ed esperti d'accordo),,,,,,,,,,,,,,
CAG,Caprile,p,9.0,38,4.83,6.16,0.1,0.3,-37.7,31.7,33.2,9.0,8.0,8.0,39.0,0.0,coerente (modello ed esperti d'accordo),PAR,CAG,2026-08-22T18:45:00Z,,,False,,4,"Approfondimento tra i ""Consigliati""",False,False,False,,
CAG,Mina,d,8.0,26,5.98,5.9,1.0,0.5,1.5,22.3,20.7,8.0,6.0,7.0,34.0,1.97,coerente (modello ed esperti d'accordo),PAR,CAG,2026-08-22T18:45:00Z,False,20,False,,2,"Non dovrebbe giocare, nel caso in cui dovesse farlo, meglio lasciarlo in panchina perchè quando non è in forma fa solo danni.",True,False,False,-7.63,RISCHIO GIORNATA 1 (ballottaggio/indisponibilita' non previsti dal modello)
CAG,Obert,d,7.0,34,5.88,5.86,0.9,1.3,0.9,25.4,24.9,8.0,8.0,7.0,36.0,0.0,coerente (modello ed esperti d'accordo),PAR,CAG,2026-08-22T18:45:00Z,,,False,,3,"Approfondimento tra i ""Consigliati""",False,True,True,,
CAG,Fazzini,c,7.0,12,5.97,5.9,0.9,0.8,1.7,19.5,11.7,8.0,5.0,8.0,35.0,7.67,SORPRESA AL RIALZO (esperti piu' fiduciosi del modello),PAR,CAG,2026-08-22T18:45:00Z,,,False,,3,"Attualmente forse il più appetibile al fantacalcio tra i centrocampisti sardi. Se viene confinato sulla sinistra perde un po' di efficacia, ma è il principale battitore di tutti i calci da fermo, e può trovare l'imbucata in qualsiasi momento.",False,True,True,,
CAG,Adopo,c,6.0,38,5.88,5.84,0.8,1.2,1.6,27.9,25.9,8.0,8.0,5.0,32.0,0.0,coerente (modello ed esperti d'accordo),PAR,CAG,2026-08-22T18:45:00Z,,,False,,2,"Sconsigliato perchè in quella posizione ci sembra un pesce fuor d'acqua, poi l'impegno che mette in campo è fuori discussione.",False,False,False,,
CAG,Maldini,a,5.0,18,6.23,5.96,2.7,0.6,6.8,15.7,7.1,,,,,,,PAR,CAG,2026-08-22T18:45:00Z,,,False,,3,"Approfondimento tra le ""Possibili Sorprese""",True,False,False,,
CAG,Zè Pedro,d,5.0,22,5.74,5.81,0.4,0.4,0.5,20.6,18.5,8.0,8.0,6.0,32.0,3.88,SORPRESA AL RIALZO (esperti piu' fiduciosi del modello),PAR,CAG,2026-08-22T18:45:00Z,,,False,,3,"Usato sicuro in difesa, sai che difficilmente porterà bonus, ma sai anche che difficilmente meriterà un'insufficienza.",False,False,False,,
CAG,Felici,c,5.0,11,6.04,5.88,1.3,1.5,2.4,15.8,12.1,6.0,6.0,6.0,30.0,0.0,coerente (modello ed esperti d'accordo),PAR,CAG,2026-08-22T18:45:00Z,,,False,,3,"Dopo Fazzini è quello che potenzialmente ha più bonus in canna, entrerà nella ripresa per sfruttare gli spazi aperti, non è ancora nel pieno della forma, ma un pensierino a lui si può sempre fare.",False,False,False,,
CAG,Zappa,d,4.0,25,5.9,5.84,1.0,1.3,1.5,21.2,16.7,6.0,8.0,5.0,31.0,-0.56,coerente (modello ed esperti d'accordo),PAR,CAG,2026-08-22T18:45:00Z,,,False,,3,"Potrebbe entrare dalla panchina in caso di necessità, nessuna controindicazione.",False,False,False,,
CAG,Prati,c,4.0,32,5.89,5.84,1.3,1.0,1.8,20.2,17.0,,,,,,,PAR,CAG,2026-08-22T18:45:00Z,,,False,,2,Potrebbe andare a voto perchè Winks non ha i 90 minuti nelle gambe. Mai stato utile al fantacalcio.,False,False,False,,
