squadra,nome_forum,titolarita_forum,media_voto_forum,salute_forum,bonus_forum,consiglio_esperti_forum,totale_forum,ruolo_testuale_forum,player_id
FIO,Fabiano PARISI,3,7,5,7,3,25,"Terzino sinistro, attualmente infortunato",5449
FIO,Arthur ATTA,9,7,8,8,9,41,"Mezzala, titolare",6908
FIO,Nicolò FAGIOLI,7,7,7,7,8,36,"Mediano o mezzala, possibile titolare",4465
FIO,Christ INAO OULAI,7,8,8,5,7,35,"Mediano o mezzala, possibile titolare",7464
FIO,Cher NDOUR,6,7,8,6,7,34,"Mezzala, possibile titolare",6294
FIO,Rolando MANDRAGORA,5,7,7,6,6,31,"Mediano o mezzala, riserva",1933
FIO,Marco BRESCIANINI,5,6,8,5,5,29,"Mezzala, riserva",4947
FIO,Giovanni FABBIAN,5,6,8,5,5,29,"Mezzala, riserva",6206
FIO,Moise KEAN,8,7,7,7,8,37,"Centravanti, titolare",2097
FIO,Roberto PICCOLI,6,7,8,5,6,32,"Centravanti, riserva",4359
FRO,ILARIO MONTERISI,8,6,8,6,6,34,Difensore centrale titolare,4952
FRO,ANTHONY OYONO,8,6,6,6,6,32,Terzino destro titolare,6238
FRO,Kevin AKPOGUMA,7,6,8,4,6,31,"Difensore, probabile titolare",7540
FRO,GABRIELE BRACAGLIA,6,5,7,5,5,28,Terzino sinistro titolare,7469
FRO,JACOPO GELLI,2,5,7,2,5,26,"Riserva, probabile partente",7468
FRO,GIORGIO CITTADINI,5,6,5,3,6,25,Difensore centrale in ballottaggio,5757
FRO,WIDSON AMEY,4,6,8,3,2,23,"Difensore, parte dietro nelle gerarchie",5424
FRO,GABRIELE CALVANI,5,5,5,3,4,22,Difensore centrale in ballottaggio,7467
FRO,JEREMY OYONO,2,5,7,4,4,22,Terzino di riserva,7470
FRO,NICCOLò CORRADO,1,5,8,1,2,17,"Terzino di riserva, probabile partente",7471
FRO,SERGIO KALAJ,1,5,2,1,1,10,Lungodegente da non considerare,
FRO,Giacomo CALO',8,8,9,7,7,39,Centrocampista centrale titolare,7472
FRO,Alessio ZERBIN,8,7,8,6,7,36,Probabile titolare esterno sinistro d' attacco,5998
FRO,Luis HASA,6,7,8,5,6,32,Probabile titolare come mezzala,6903
FRO,PATRIZIO MASINI,6,6,7,5,6,30,Probabile titolare come mezzala,
FRO,ILIAS KOUTSOUPIAS,5,6,7,6,5,29,Probabile titolare come mezzala,7474
FRO,Matteo CICHELLA,4,6,8,4,5,27,Possibile titolare come mezzala,7473
FRO,Seydou FINI,4,6,7,4,5,26,esterno di attacco di riserva,6506
FRO,Anouar EL AZZOUZI,4,5,8,4,4,25,Probabile mezzala di riserva,7456
FRO,Francesco GELLI,3,6,5,3,4,21,"Jolly di centrocampo, panchinaro",6241
FRO,Ben Lhassine KONE,2,5,6,3,4,20,Riserva in ballottaggio,5725
FRO,Fares GHEDJEMIS,9,8,9,8,8,42,Esterno sinistro titolare,6530
FRO,Antonio RAIMONDO,8,6,8,6,6,34,Punta titolare,5436
FRO,Giorgi KVERNADZE,6,5,7,5,5,28,"Esterno d' attacco di sinistra, in ballottaggio",6204
GEN,Justin BIJLOW,9,7,6,6,6,34,"Portiere, titolare",7332
GEN,Franz STOLZ,3,6,8,6,3,26,"Portiere, riserva",6569
GEN,Daniele SOMMARIVA,1,5,8,5,1,20,"Portiere, terzo",219
GEN,Leo OSTIGARD,9,7,9,8,8,41,"Dif Centrale, Titolare",5750
