squadra,nome,ruolo,quotazione_iniziale_2026_27,presenze_2025_26,pred_fantamedia,pred_voto,pred_gol,pred_assist,pred_bonus_netti,pred_presenze_previste,pred_presenze_titolare_previste,titolarita_forum_esperti,salute_forum_esperti,consiglio_forum_esperti,totale_forum_esperti
BOL,Helland,d,2.0,6,5.71,5.79,0.3,0.5,0.3,11.7,9.7,6.0,7.0,7.0,30.0
BOL,Pessina Mas.,p,1.0,4,4.77,5.94,0.5,0.4,-2.6,10.6,7.7,5.0,5.0,5.0,27.0
BOL,De Silvestri,d,1.0,10,5.76,5.84,0.4,0.7,0.1,12.7,6.6,4.0,5.0,4.0,23.0
CAG,Esposito Se.,a,13.0,36,6.46,6.1,4.7,2.9,13.5,25.2,18.3,3.0,8.0,3.0,29.0
CAG,Caprile,p,9.0,38,4.83,6.16,0.1,0.3,-37.7,31.7,33.2,9.0,8.0,8.0,39.0
CAG,Mina,d,8.0,26,5.98,5.9,1.0,0.5,1.5,22.3,20.7,8.0,6.0,7.0,34.0
CAG,Obert,d,7.0,34,5.88,5.86,0.9,1.3,0.9,25.4,24.9,8.0,8.0,7.0,36.0
CAG,Fazzini,c,7.0,12,5.97,5.9,0.9,0.8,1.7,19.5,11.7,8.0,5.0,8.0,35.0
CAG,Adopo,c,6.0,38,5.88,5.84,0.8,1.2,1.6,27.9,25.9,8.0,8.0,5.0,32.0
CAG,Maldini,a,5.0,18,6.23,5.96,2.7,0.6,6.8,15.7,7.1,,,,
CAG,Zè Pedro,d,5.0,22,5.74,5.81,0.4,0.4,0.5,20.6,18.5,8.0,8.0,6.0,32.0
CAG,Felici,c,5.0,11,6.04,5.88,1.3,1.5,2.4,15.8,12.1,6.0,6.0,6.0,30.0
CAG,Zappa,d,4.0,25,5.9,5.84,1.0,1.3,1.5,21.2,16.7,6.0,8.0,5.0,31.0
CAG,Prati,c,4.0,32,5.89,5.84,1.3,1.0,1.8,20.2,17.0,,,,
CAG,Borrelli,a,4.0,26,6.27,5.88,3.7,0.8,8.8,17.3,9.9,6.0,7.0,5.0,29.0
CAG,Mendy P.,a,4.0,8,6.25,5.85,2.1,0.6,4.5,13.3,6.4,6.0,8.0,5.0,30.0
CAG,Rodriguez Ju.,d,3.0,16,5.69,5.79,0.8,0.5,0.8,16.6,11.1,7.0,8.0,6.0,32.0
CAG,Idrissi R.,d,3.0,17,5.99,5.86,0.8,0.5,2.2,14.2,9.2,5.0,6.0,6.0,30.0
CAG,Deiola,c,3.0,20,5.85,5.85,0.9,0.5,1.4,13.3,8.9,7.0,7.0,5.0,31.0
CAG,Liteta,c,1.0,4,5.76,5.77,0.5,0.5,1.3,9.4,6.5,,,,
CAG,Albarracin,a,1.0,2,5.93,5.82,0.6,0.7,2.1,8.0,3.8,4.0,8.0,4.0,24.0
CAG,Trepy,a,1.0,4,5.88,5.8,0.8,0.5,3.3,11.1,5.5,6.0,7.0,5.0,29.0
COM,Paz N.,c,30.0,35,7.18,6.22,5.6,5.8,23.1,31.0,29.1,9.0,9.0,10.0,46.0
COM,Douvikas,a,20.0,36,6.65,6.01,7.8,2.5,24.5,31.1,24.4,9.0,9.0,8.0,41.0
COM,Baturina,c,19.0,25,6.55,6.1,3.3,2.9,12.1,25.6,15.1,9.0,9.0,9.0,43.0
COM,Da Cunha,c,18.0,35,6.56,6.15,4.4,4.2,13.9,30.7,27.5,9.0,8.0,9.0,41.0
COM,Butez,p,16.0,38,5.14,6.05,0.4,0.4,-25.5,33.3,28.1,,,,
COM,Rodriguez Je.,c,12.0,28,6.43,6.09,3.9,3.1,13.2,29.1,20.1,6.0,9.0,6.0,34.0
COM,Diao,a,11.0,16,6.41,6.03,3.4,1.2,14.9,22.7,16.2,,,,
COM,Ramon,d,10.0,32,6.19,6.04,2.7,0.9,5.2,29.2,25.0,9.0,8.0,9.0,40.0
COM,Perrone,c,10.0,36,6.18,6.08,2.0,2.5,3.3,31.0,27.4,9.0,8.0,9.0,40.0
COM,Valle,d,6.0,26,6.01,5.93,1.1,1.2,2.0,21.7,19.1,7.0,9.0,8.0,37.0
COM,Caqueret,c,6.0,28,6.19,6.02,1.7,2.4,5.2,23.7,15.5,6.0,8.0,7.0,34.0
COM,Kempf,d,5.0,29,6.04,5.97,1.4,0.7,1.7,17.2,15.4,7.0,8.0,6.0,35.0
COM,Addai,c,5.0,12,6.17,5.93,2.0,0.8,5.4,13.1,8.4,6.0,6.0,5.0,28.0
COM,Smolcic I.,d,4.0,25,5.92,5.91,1.0,0.8,0.9,18.6,14.9,6.0,8.0,5.0,29.0
COM,Morata,a,4.0,17,6.23,5.92,2.6,1.9,6.3,10.6,6.1,7.0,6.0,5.0,27.0
COM,Kuhn,a,3.0,14,6.27,5.95,1.3,1.4,4.5,11.9,5.4,5.0,8.0,4.0,28.0
COM,Van Der Brempt,d,2.0,14,5.92,5.88,0.6,0.5,0.4,12.4,7.8,,,,
COM,Fadera,c,2.0,24,6.11,5.94,1.3,1.4,3.4,15.2,5.7,,,,
FIO,Kean,a,25.0,26,7.18,6.02,10.7,1.0,32.0,27.0,20.4,8.0,7.0,8.0,37.0
FIO,Atta,c,17.0,32,6.43,6.03,3.4,3.6,11.1,29.0,27.3,9.0,8.0,9.0,41.0
FIO,De Gea,p,13.0,37,4.92,6.09,0.1,0.4,-32.8,28.4,28.4,,,,
FIO,Gudmundsson A.,c,13.0,32,6.47,6.01,3.5,2.5,14.8,27.3,20.5,,,,
FIO,Dodò,d,10.0,36,6.03,5.96,0.9,2.2,1.4,29.6,27.6,7.0,8.0,7.0,36.0
FIO,Mandragora,c,9.0,34,6.37,5.95,2.7,1.7,7.3,26.6,18.5,5.0,7.0,6.0,31.0
FIO,Jimenez A.,d,8.0,1,5.9,5.93,0.7,0.5,0.3,16.8,14.3,8.0,8.0,7.0,35.0
FIO,Fagioli,c,8.0,33,6.07,5.96,1.2,1.4,3.3,23.6,19.7,7.0,7.0,8.0,36.0
FIO,Ndour,c,8.0,30,5.99,5.88,2.0,0.6,3.6,26.4,21.3,6.0,8.0,7.0,34.0
FIO,Piccoli,a,8.0,27,6.48,5.89,3.3,0.7,12.1,18.9,11.4,6.0,8.0,6.0,32.0
FIO,Parisi,d,5.0,23,5.91,5.87,1.0,1.2,1.2,19.4,13.1,3.0,5.0,3.0,25.0
FIO,Pongracic,d,4.0,35,5.72,5.83,0.4,0.3,0.3,22.8,21.0,6.0,7.0,6.0,30.0
