stagione,player_id,nome_giocatore,squadra_sigla,ruolo_classic,ruolo_mantra,quotazione_iniziale,quotazione_attuale,fvm
2015-16,610,Gollini,VER,p,por,1.0,7.0,
2015-16,635,Juanito Gomez,VER,a,w|a,16.0,7.0,
2015-16,637,Siligardi,VER,a,a,9.0,7.0,
2015-16,650,Pepe S.,CHI,c,cd|w,4.0,7.0,
2015-16,664,Crimi,CAR,c,m|cc,2.0,7.0,
2015-16,669,Donsah,BOL,c,m|cc,7.0,7.0,
2015-16,715,Castillo,FRO,a,pc,12.0,7.0,
2015-16,771,Boateng,MIL,c,cc|t,12.0,7.0,
2015-16,776,Bisevac,LAZ,d,dc,6.0,7.0,
2015-16,807,Matavz,GEN,a,pc,11.0,7.0,
2015-16,13,Drame',ATA,d,ds|cs,6.0,6.0,
2015-16,48,Maietta,BOL,d,dc,3.0,6.0,
2015-16,56,Brighi,BOL,c,m|cc,5.0,6.0,
2015-16,60,Rizzo,BOL,c,cd|cs|cc,6.0,6.0,
2015-16,104,Gamberini,CHI,d,dc,4.0,6.0,
2015-16,118,Radovanovic,CHI,c,m|cc,7.0,6.0,
2015-16,123,Inglese,CHI,a,pc,3.0,6.0,
2015-16,135,Bittante,EMP,d,dd|ds|cd|cs,5.0,6.0,
2015-16,138,Costa,EMP,d,ds|dc,4.0,6.0,
2015-16,141,Laurini,EMP,d,dd|cd,4.0,6.0,
2015-16,180,Suarez M,FIO,c,m|cc,10.0,6.0,
2015-16,188,Leali,FRO,p,por,7.0,6.0,
2015-16,193,Blanchard,FRO,d,ds|dc,5.0,6.0,
2015-16,204,Frara,FRO,c,cs|m|cc,1.0,6.0,
2015-16,206,Gucher,FRO,c,m|cc,6.0,6.0,
2015-16,210,Soddimo,FRO,c,w,8.0,6.0,
2015-16,260,Nagatomo,INT,d,dd|ds|cd|cs,6.0,6.0,
2015-16,276,Biabiany,INT,a,w|a,5.0,6.0,
2015-16,297,Buchel,EMP,c,m|cc,4.0,6.0,
2015-16,341,Onazi,LAZ,c,m|cc,5.0,6.0,
2015-16,364,Zaccardo,CAR,d,dd|dc,1.0,6.0,
2015-16,380,Matri,LAZ,a,pc,14.0,6.0,
2015-16,401,El Kaddouri,NAP,c,cc|t,8.0,6.0,
2015-16,414,Andelkovic,PAL,d,dc,4.0,6.0,
2015-16,419,Gonzalez G,PAL,d,dc,8.0,6.0,
2015-16,420,Lazaar,PAL,d,ds|cs,10.0,6.0,
2015-16,423,Rispoli,PAL,d,dd|cd,5.0,6.0,
2015-16,435,Maresca,PAL,c,m|cc,2.0,6.0,
2015-16,458,Maicon,ROM,d,dd|cd,9.0,6.0,
2015-16,462,Yanga Mbiwa,ROM,d,dc,6.0,6.0,
2015-16,465,Keita S,ROM,c,m|cc,8.0,6.0,
2015-16,485,Cassani,SAM,d,dd|cd,6.0,6.0,
2015-16,494,Barreto,SAM,c,m|cc,12.0,6.0,
2015-16,505,Bonazzoli,SAM,a,pc,11.0,6.0,
2015-16,524,Biondini,SAS,c,m|cc,5.0,6.0,
2015-16,578,Danilo Lar.,UDI,d,dc,8.0,6.0,
2015-16,612,Bianchetti,VER,d,dd|dc,4.0,6.0,
2015-16,615,Helander,VER,d,dc,4.0,6.0,
2015-16,618,Moras,VER,d,dc,6.0,6.0,
2015-16,626,Hallfredsson,UDI,c,cs|cc,10.0,6.0,
2015-16,645,Milinkovic-Savic,LAZ,c,m|cc,7.0,6.0,
2015-16,665,Mauri,LAZ,c,w|t,13.0,6.0,
2015-16,708,Felipe,UDI,d,dc,3.0,6.0,
2015-16,717,Felipe Melo,INT,c,m|cc,8.0,6.0,
2015-16,772,Kragl,FRO,c,ds|cs,3.0,6.0,
2015-16,774,Emanuelson,VER,c,cs|w,5.0,6.0,
2015-16,788,Freuler,ATA,c,cc|t,5.0,6.0,
2015-16,793,Kuzmanovic,UDI,c,m|cc,7.0,6.0,
2015-16,11,Conti,ATA,d,dd|cd,1.0,5.0,
2015-16,65,Mancosu,CAR,a,pc,11.0,5.0,
2015-16,84,Marrone,VER,c,m|cc,7.0,5.0,
2015-16,94,Wilczek,CAR,a,pc,10.0,5.0,
2015-16,131,Pelagotti,EMP,p,por,1.0,5.0,
2015-16,162,Basanta,FIO,d,dc,5.0,5.0,
2015-16,168,Roncaglia,FIO,d,dd|dc,2.0,5.0,
2015-16,197,Pavlovic D.,FRO,d,ds|cs,4.0,5.0,
2015-16,205,Gori,FRO,c,m|cc,2.0,5.0,
2015-16,217,Lamanna,GEN,p,por,1.0,5.0,
2015-16,225,Diogo Figueiras,GEN,d,dd|ds|cd|cs,9.0,5.0,
2015-16,236,Lazovic,GEN,c,w|a,12.0,5.0,
2015-16,242,Tino Costa,FIO,c,cc|t,13.0,5.0,
2015-16,243,Gakpe',ATA,a,w|a,10.0,5.0,
2015-16,255,Dodo' R.,SAM,d,ds|cs,3.0,5.0,
2015-16,281,Puscas,INT,a,pc,5.0,5.0,
2015-16,295,Asamoah,JUV,c,cs|cc,7.0,5.0,
2015-16,302,Pereyra,JUV,c,cc|t,12.0,5.0,
2015-16,319,Basta,LAZ,d,dd|cd,10.0,5.0,
2015-16,325,Konko,LAZ,d,dd|cd,1.0,5.0,
2015-16,396,Zuniga,BOL,d,dd|ds|cd|cs,5.0,5.0,
2015-16,398,David Lopez,NAP,c,m|cc,6.0,5.0,
2015-16,411,Vargas E,NAP,a,a,5.0,5.0,
2015-16,493,Zukanovic,ROM,d,ds|dc,9.0,5.0,
2015-16,545,Bovo,TOR,d,dc,4.0,5.0,
