stagione,giornata,squadra,forma3_punti_mean,forma3_gf_mean,forma3_gs_mean,forma3_xg_for_mean,forma3_xg_against_mean,forma3_n_partite,forma5_punti_mean,forma5_gf_mean,forma5_gs_mean,forma5_xg_for_mean,forma5_xg_against_mean,forma5_n_partite
2015-16,4,Milan,1.0,0.6666666666666666,1.3333333333333333,0.8208624456698695,1.6113950650518138,3,1.0,0.6666666666666666,1.3333333333333333,0.8208624456698695,1.6113950650518138,3
2015-16,4,Fiorentina,2.0,1.3333333333333333,1.0,1.1914632401118677,0.6169265322387218,3,2.0,1.3333333333333333,1.0,1.1914632401118677,0.6169265322387218,3
2015-16,4,Genoa,1.0,0.6666666666666666,0.6666666666666666,1.1421373107781012,0.9467259449884295,3,1.0,0.6666666666666666,0.6666666666666666,1.1421373107781012,0.9467259449884295,3
2015-16,5,Sassuolo,1.6666666666666667,1.6666666666666667,1.3333333333333333,0.9786511833469073,1.0492102749024828,3,2.0,1.75,1.25,1.2760549089871347,1.0787153078708798,4
2015-16,5,Verona,0.6666666666666666,1.0,1.6666666666666667,0.9668319340174397,1.3018861593057711,3,0.75,1.0,1.5,0.9447378034237772,1.2671952140517533,4
2015-16,5,Chievo,1.3333333333333333,1.6666666666666667,0.6666666666666666,1.0515978271141648,1.7331619556061924,3,1.75,2.0,0.75,1.057924069929868,1.6103294949280098,4
2015-16,5,Roma,2.3333333333333335,2.0,1.0,1.5167276626452804,0.7511999481357634,3,2.0,1.75,1.0,1.4283263415563852,0.78301381401252,4
2015-16,5,Bologna,1.0,0.3333333333333333,1.0,0.5395375473114351,1.1865504995609324,3,0.75,0.5,1.25,0.5002739363117144,1.2759225546615198,4
2015-16,5,Sampdoria,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.1561822003374498,1.5570088926081855,3,1.75,2.25,1.5,1.219023079611361,1.836236000759527,4
2015-16,5,Carpi,0.3333333333333333,1.0,1.6666666666666667,1.0918362677718203,1.6954507449020941,3,0.25,1.25,2.5,1.487356532132253,1.6234744880348444,4
2015-16,5,Juventus,1.3333333333333333,1.3333333333333333,1.0,2.0354377683252096,0.6631986380865177,3,1.0,1.0,1.0,1.9827057253569365,0.7141934214159846,4
2015-16,5,Empoli,1.3333333333333333,1.6666666666666667,1.6666666666666667,1.0004489955802758,1.0254286588169634,3,1.0,1.5,2.0,1.0607947749085724,1.038297193706967,4
2015-16,5,Frosinone,0.0,0.0,1.6666666666666667,0.8975763921625912,2.0889367847703397,3,0.0,0.25,1.75,0.896959459176287,2.066440690890886,4
2015-16,5,Napoli,1.6666666666666667,3.0,1.3333333333333333,1.8462529662065208,1.2090855268761516,3,1.25,2.5,1.5,1.6764973263489082,1.448880666634068,4
